image_id,label,isNight,split
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_2510.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728182302_27596.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9493.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153028_25378.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728125045_26905.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154744_26802.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_152906_25288.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200729183057_01.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154207_26370.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_143656_22977.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728181719_01_27298.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_145658_23728.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_143944.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200729173814_01.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_175624.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG20200728182811.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190923_183611_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728174529.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190824_175815_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_20190924_151752.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG20200728181208.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728182200_27520.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190824_175010_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190822_084701.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG20200728140715.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_8201.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_7474.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_8179.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_171824_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_144324.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_150221_24069.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153831_26107.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_20190924_151705.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154731.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190822_080307.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9192.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200728131431.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190822_081321.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_8855.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_150843.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9631.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_143619_22936.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_145557_23678.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200729172043.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153420_25759.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728174403.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200730132731_01.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_2368.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153336_25677.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190923_175612.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9379.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190822_084414_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_144803_23440.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153045_25411.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154639_26708.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153749_26044.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9238.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_7376.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_20190924_153410.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_2472.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_150533.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154513_26557.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190822_085509.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_151703_24822.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190923_182109.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_145706_23748.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9433.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_171625.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200728131849.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_20190902_102806.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG20200728181238.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_151556.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9397.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_7866.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190812_183129.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_2213.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154754.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190824_175022_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_145758_23805.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190809_153348.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154544_26618.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200728125949.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_8036.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190824_181543_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_20190924_151826.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153334_25672.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_171800.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728125602_27094.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154109_26269.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\mixed\IMG20200729172920.png,2,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_1892.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_151342_24577.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_7925.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_171739.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728191227.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_175647_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200729173922.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200728125632.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_154620.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_8238.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190910_175503_1.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_6988.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_7775.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190822_084558.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190820_153035.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG20200728191046.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\bad\IMG_20190824_175814.png,1,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\20190809_122409.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG_9588.png,0,1,train
E:\adv_outputs_fruit_quality\ANN_pgd\train\good\IMG20200729173753_01.png,0,1,train
