image_id,label,isNight,split
E:\Fruit_Quality_Split\train\bad\IMG_2510.JPG,1,1,train
E:\Fruit_Quality_Split\train\good\IMG20200728182302_27596.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\IMG_9493.JPG,0,1,train
E:\Fruit_Quality_Split\train\good\20190820_153028_25378.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\IMG20200728125045_26905.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\20190820_154744_26802.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\20190820_152906_25288.jpg,0,1,train
E:\Fruit_Quality_Split\train\mixed\IMG20200729183057_01.jpg,2,1,train
E:\Fruit_Quality_Split\train\good\20190820_154207_26370.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\20190820_143656_22977.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\IMG20200728181719_01_27298.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\20190820_145658_23728.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\20190820_143944.jpg,0,1,train
E:\Fruit_Quality_Split\train\good\IMG20200729173814_01.jpg,0,1,train
E:\Fruit_Quality_Split\train\bad\IMG_20190910_175624.jpg,1,1,train
E:\Fruit_Quality_Split\train\bad\IMG20200728182811.jpg,1,1,train
E:\Fruit_Quality_Split\train\bad\IMG_20190923_183611_1.jpg,1,1,train
E:\Fruit_Quality_Split\train\good\IMG20200728174529.jpg,0,1,train
E:\Fruit_Quality_Split\train\bad\IMG_20190824_175815_1.jpg,1,1,train
E:\Fruit_Quality_Split\train\good\IMG_20190924_151752.jpg,0,1,train
E:\Fruit_Quality_Split\train\bad\IMG20200728181208.jpg,1,1,train
E:\Fruit_Quality_Split\train\good\IMG20200728182200_27520.jpg,0,1,train
E:\Fruit_Quality_Split\train\bad\IMG_20190824_175010_1.jpg,1,1,train
E:\Fruit_Quality_Split\train\bad\IMG_20190822_084701.jpg,1,1,train
