image_id,label,isNight,split,adv_label
E:\Fruit_Quality_Split\test\good\20190820_150221_24068.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_20190822_080313_1.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_150620.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\good\IMG_8748.JPG,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_7325.JPG,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190809_121624.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\good\IMG_20190902_110834.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\good\IMG_2572.JPG,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_20190824_180144.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_154547_26625.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_150106_23958.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG20200728182810.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_151345_24583.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_20190910_175803_1.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_7799.JPG,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_150609_24236.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_20190910_175846_1.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_20190910_172023_1.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_144036.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_20190824_181542.jpg,1,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_150719.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\bad\IMG_7770.JPG,1,1,test,0
E:\Fruit_Quality_Split\test\good\IMG_20190902_102817.jpg,0,1,test,0
E:\Fruit_Quality_Split\test\good\20190820_151819_24878.jpg,0,1,test,0
