image_id,label,isNight,split
adv_outputs\ANN_fgsm\processed_images\train\img_0.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_1.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_2.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_3.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_4.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_5.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_6.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_7.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_8.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_9.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_10.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_11.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_12.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_13.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_14.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_15.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_16.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_17.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_18.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_19.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_20.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_21.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_22.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_23.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_24.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_25.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_26.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_27.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_28.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_29.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_30.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_31.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_32.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_33.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_34.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_35.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_36.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_37.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_38.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_39.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_40.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_41.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_42.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_43.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_44.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_45.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_46.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_47.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_48.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_49.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_50.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_51.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_52.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_53.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_54.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_55.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_56.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_57.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_58.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_59.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_60.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_61.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_62.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_63.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_64.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_65.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_66.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_67.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_68.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_69.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_70.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_71.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_72.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_73.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_74.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_75.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_76.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_77.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_78.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_79.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_80.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_81.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_82.png,1,0,train
adv_outputs\ANN_fgsm\processed_images\train\img_83.png,1,0,train
