image_id,label,isNight,split
adv_outputs\ANN_pgd\processed_images\test\img_40227.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40228.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40229.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40230.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40231.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40232.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40233.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40234.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40235.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40236.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40237.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40238.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40239.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40240.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40241.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40242.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40243.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40244.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40245.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40246.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40247.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40248.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40249.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40250.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40251.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40252.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40253.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40254.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40255.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40256.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40257.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40258.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40259.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40260.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40261.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40262.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40263.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40264.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40265.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40266.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40267.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40268.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40269.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40270.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40271.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40272.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40273.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40274.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40275.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40276.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40277.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40278.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40279.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40280.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40281.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40282.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40283.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40284.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40285.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40286.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40287.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40288.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40289.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40290.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40291.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40292.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40293.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40294.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40295.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40296.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40297.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40298.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40299.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40300.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40301.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40302.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40303.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40304.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40305.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40306.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40307.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40308.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40309.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40310.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40311.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40312.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40313.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40314.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40315.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40316.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40317.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40318.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40319.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40320.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40321.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40322.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40323.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40324.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40325.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40326.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40327.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40328.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40329.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40330.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40331.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40332.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40333.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40334.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40335.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40336.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40337.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40338.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40339.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40340.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40341.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40342.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40343.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40344.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40345.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40346.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40347.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40348.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40349.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40350.png,3,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40351.png,1,0,test
adv_outputs\ANN_pgd\processed_images\test\img_40352.png,3,0,test
