image_id;label;isNight;split
../../datasets/processed_images\train\img_0.jpg;1;0;train
../../datasets/processed_images\train\img_1.jpg;1;0;train
../../datasets/processed_images\train\img_2.jpg;1;0;train
../../datasets/processed_images\train\img_3.jpg;1;0;train
../../datasets/processed_images\train\img_4.jpg;1;0;train
../../datasets/processed_images\train\img_5.jpg;1;0;train
../../datasets/processed_images\train\img_6.jpg;1;0;train
../../datasets/processed_images\train\img_7.jpg;1;0;train
../../datasets/processed_images\train\img_8.jpg;1;0;train
../../datasets/processed_images\train\img_9.jpg;1;0;train
../../datasets/processed_images\train\img_10.jpg;1;0;train
../../datasets/processed_images\train\img_11.jpg;1;0;train
../../datasets/processed_images\train\img_12.jpg;1;0;train
../../datasets/processed_images\train\img_13.jpg;1;0;train
../../datasets/processed_images\train\img_14.jpg;1;0;train
../../datasets/processed_images\train\img_15.jpg;1;0;train
../../datasets/processed_images\train\img_16.jpg;1;0;train
../../datasets/processed_images\train\img_17.jpg;1;0;train
../../datasets/processed_images\train\img_18.jpg;1;0;train
../../datasets/processed_images\train\img_19.jpg;1;0;train
../../datasets/processed_images\train\img_20.jpg;1;0;train
../../datasets/processed_images\train\img_21.jpg;1;0;train
../../datasets/processed_images\train\img_22.jpg;1;0;train
../../datasets/processed_images\train\img_23.jpg;1;0;train
../../datasets/processed_images\train\img_24.jpg;1;0;train
../../datasets/processed_images\train\img_25.jpg;1;0;train
../../datasets/processed_images\train\img_26.jpg;1;0;train
../../datasets/processed_images\train\img_27.jpg;1;0;train
../../datasets/processed_images\train\img_28.jpg;1;0;train
../../datasets/processed_images\train\img_29.jpg;1;0;train
../../datasets/processed_images\train\img_30.jpg;1;0;train
../../datasets/processed_images\train\img_31.jpg;1;0;train
../../datasets/processed_images\train\img_32.jpg;1;0;train
../../datasets/processed_images\train\img_33.jpg;1;0;train
../../datasets/processed_images\train\img_34.jpg;1;0;train
../../datasets/processed_images\train\img_35.jpg;1;0;train
../../datasets/processed_images\train\img_36.jpg;1;0;train
../../datasets/processed_images\train\img_37.jpg;1;0;train
../../datasets/processed_images\train\img_38.jpg;1;0;train
../../datasets/processed_images\train\img_39.jpg;1;0;train
../../datasets/processed_images\train\img_40.jpg;1;0;train
../../datasets/processed_images\train\img_41.jpg;1;0;train
../../datasets/processed_images\train\img_42.jpg;1;0;train
../../datasets/processed_images\train\img_43.jpg;1;0;train
../../datasets/processed_images\train\img_44.jpg;1;0;train
